Date,Price,Open,High,Low,Vol.,Change %
06/10/2025,"109,468.30","110,268.30","110,303.30","109,063.80",62.04K,-0.73%
06/09/2025,"110,268.30","105,739.60","110,404.90","105,333.30",64.28K,4.28%
06/08/2025,"105,739.60","105,564.20","106,449.30","105,011.60",29.11K,0.17%
06/07/2025,"105,564.20","104,308.30","105,911.70","103,911.00",32.39K,1.20%
06/06/2025,"104,308.30","101,524.10","105,306.50","101,127.60",61.97K,2.74%
06/05/2025,"101,521.90","104,690.60","105,914.40","100,421.10",73.53K,-3.03%
06/04/2025,"104,695.60","105,383.50","105,971.20","104,224.00",50.06K,-0.66%
06/03/2025,"105,388.30","105,845.60","106,758.40","104,886.90",49.47K,-0.43%
06/02/2025,"105,845.60","105,635.20","105,930.70","103,729.70",46.44K,0.20%
06/01/2025,"105,635.20","104,598.00","105,867.50","103,768.60",33.03K,0.99%
05/31/2025,"104,598.00","103,981.90","104,888.40","103,091.30",35.80K,0.59%
05/30/2025,"103,981.30","105,598.80","106,314.90","103,693.90",71.98K,-1.53%
05/29/2025,"105,600.00","107,759.10","108,896.70","105,399.90",70.02K,-2.03%
05/28/2025,"107,786.70","108,905.70","109,238.30","106,804.90",51.84K,-1.06%
05/27/2025,"108,944.00","109,455.30","110,718.70","107,572.20",65.02K,-0.47%
05/26/2025,"109,455.30","109,014.90","110,401.40","108,694.00",48.01K,0.40%
05/25/2025,"109,021.10","107,763.00","109,203.40","106,648.30",52.49K,1.17%
05/24/2025,"107,763.00","107,313.50","109,476.40","106,904.50",52.26K,0.42%
05/23/2025,"107,313.40","111,702.60","111,778.70","106,855.40",87.57K,-3.93%
05/22/2025,"111,702.70","109,632.60","111,953.60","109,281.80",96.35K,1.88%
05/21/2025,"109,640.10","106,814.70","110,628.80","106,109.50",124.17K,2.64%
05/20/2025,"106,815.80","105,586.10","107,270.50","104,199.30",76.08K,1.16%
05/19/2025,"105,585.80","106,507.70","107,081.30","102,088.20",90.49K,-0.86%
05/18/2025,"106,504.50","103,113.90","106,577.00","103,113.90",62.47K,3.29%
05/17/2025,"103,112.60","103,473.90","103,712.30","102,626.50",37.43K,-0.36%
05/16/2025,"103,480.50","103,764.60","104,544.10","103,126.50",53.27K,-0.27%
05/15/2025,"103,765.40","103,513.20","104,153.80","101,436.80",59.68K,0.24%
05/14/2025,"103,513.90","104,116.30","104,316.00","102,632.90",55.58K,-0.58%
05/13/2025,"104,119.20","102,794.90","104,972.90","101,510.20",71.91K,1.29%
05/12/2025,"102,795.00","104,119.20","105,765.20","100,766.80",90.21K,-1.27%
05/11/2025,"104,119.20","104,748.30","104,930.90","103,358.80",54.76K,-0.65%
05/10/2025,"104,798.00","102,974.70","104,969.80","102,837.20",48.42K,1.77%
05/09/2025,"102,975.10","103,270.70","104,308.70","102,365.70",87.34K,-0.29%
05/08/2025,"103,274.30","97,035.10","103,885.40","96,901.90",110.60K,6.43%
05/07/2025,"97,035.10","96,817.90","97,647.50","95,798.40",59.98K,0.22%
05/06/2025,"96,825.40","94,745.90","96,893.90","93,408.80",55.76K,2.20%
